ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2021-06-21,'601236,ºìËþÖ¤È¯,13.19,13.78,12.62,12.72,12.53,0.66,5.2674,1.7255,25449310,337895732.0,47924617173.2,19454196369.6
2021-06-18,'601236,ºìËþÖ¤È¯,12.53,12.64,12.44,12.45,12.52,0.01,0.0799,0.4854,7159766,89737803.0,45526569611.9,18480749091.1
2021-06-17,'601236,ºìËþÖ¤È¯,12.52,12.66,12.43,12.51,12.46,0.06,0.4815,0.4502,6639986,83258134.0,45490235557.9,18465999889.9
2021-06-16,'601236,ºìËþÖ¤È¯,12.46,12.53,12.3,12.3,12.36,0.1,0.8091,0.4688,6914165,85866669.0,45272231234.2,18377504682.7
2021-06-15,'601236,ºìËþÖ¤È¯,12.36,12.58,12.27,12.58,12.62,-0.26,-2.0602,0.6035,8901538,110108503.0,44908890694.6,18230012670.8
2021-06-11,'601236,ºìËþÖ¤È¯,12.62,12.82,12.46,12.75,12.74,-0.12,-0.9419,0.7683,11331960,143006223.0,45853576097.5,18613491901.8
2021-06-10,'601236,ºìËþÖ¤È¯,12.74,12.97,12.72,12.82,12.86,-0.12,-0.9331,0.5593,8248843,105719250.0,46289584745.0,18790482316.1
2021-06-09,'601236,ºìËþÖ¤È¯,12.86,13.16,12.81,13.09,13.09,-0.23,-1.7571,0.6203,9149287,118251441.0,46725593392.6,18967472730.3
2021-06-08,'601236,ºìËþÖ¤È¯,13.09,13.25,13.0,13.05,13.09,0.0,0.0,0.5091,7508492,98497123.0,47561276633.6,19306704357.7
2021-06-07,'601236,ºìËþÖ¤È¯,13.09,13.18,12.95,13.03,13.03,0.06,0.4605,0.4977,7340936,95989979.0,47561276633.6,19306704357.7
