�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2021-06-21,'601865,腦應杻,34.93,35.97,33.3,33.3,32.88,2.05,6.2348,9.0051,40345387,1416378003.0,74966530362.2,15649621777.5
2021-06-18,'601865,腦應杻,32.88,32.88,29.78,29.78,29.89,2.99,10.0033,5.7527,25773501,814708557.0,70566834191.5,14731164158.2
2021-06-17,'601865,腦應杻,29.89,30.78,29.58,30.09,29.9,-0.01,-0.0334,3.2848,14716843,442436452.0,64149716362.1,13391560118.2
2021-06-16,'601865,腦應杻,29.9,32.5,29.65,32.0,32.79,-2.89,-8.8137,6.1296,27462356,837140065.0,64171178294.6,13396040399.3
2021-06-15,'601865,腦應杻,32.79,33.44,31.34,32.66,32.64,0.15,0.4596,5.3029,23758407,774158879.0,70373676798.7,14690841628.5
2021-06-11,'601865,腦應杻,32.64,33.33,30.81,31.99,31.31,1.33,4.2478,9.3303,41802346,1348338972.0,70051747810.6,14623637412.5
2021-06-10,'601865,腦應杻,31.31,31.31,28.58,28.58,28.46,2.85,10.0141,8.1148,36356768,1116111086.0,67197310782.7,14027760030.2
2021-06-09,'601865,腦應杻,28.46,28.5,27.77,28.03,28.05,0.41,1.4617,1.9001,8512777,240799081.0,61080660008.8,12750879925.2
2021-06-08,'601865,腦應杻,28.05,28.57,27.8,28.44,28.57,-0.52,-1.8201,2.452,10985791,308830153.0,60200720774.7,12567188401.4
2021-06-07,'601865,腦應杻,28.57,29.29,28.12,28.66,28.7,-0.13,-0.453,2.9227,13094585,373146294.0,61316741266.8,12800163017.0
2021-06-04,'601865,腦應杻,28.7,29.45,28.54,29.15,29.68,-0.98,-3.3019,3.9441,17670569,510034228.0,61595746389.8,12858406670.9
2021-06-03,'601865,腦應杻,29.68,30.99,29.57,30.8,30.87,-1.19,-3.8549,3.3126,14841169,445776350.0,63699015778.7,13297474215.8
2021-06-02,'601865,腦應杻,30.87,31.79,30.6,31.43,31.45,-0.58,-1.8442,3.6052,16152298,501073134.0,66252985751.0,13830627663.1
2021-06-01,'601865,腦應杻,31.45,32.42,30.15,30.55,30.37,1.08,3.5561,7.5699,33915391,1066957678.0,67497777838.3,14090483965.1
2021-05-31,'601865,腦應杻,30.37,30.63,27.95,28.26,28.3,2.07,7.3145,6.0735,27211065,803645743.0,65179889124.0,13606613609.6
2021-05-28,'601865,腦應杻,28.3,28.96,27.72,28.45,28.8,-0.5,-1.7361,3.7057,16602733,472077041.0,60737269088.2,12679195428.1
2021-05-27,'601865,腦應杻,28.8,28.8,27.75,28.53,28.38,0.42,1.4799,4.7086,21095778,594275035.0,61810365715.2,12903209481.6
2021-05-26,'601865,腦應杻,28.38,29.25,28.18,28.58,28.56,-0.18,-0.6303,2.7434,12291205,351254825.0,60908964548.5,12715037676.7
2021-05-25,'601865,腦應杻,28.56,28.75,28.1,28.58,28.57,-0.01,-0.035,3.5169,15756687,448388434.0,61295279334.2,12795682735.9
2021-05-24,'601865,腦應杻,28.57,29.03,27.91,29.0,29.29,-0.72,-2.4582,3.2624,14616354,415695844.0,61316741266.8,12800163017.0
2021-05-21,'601865,腦應杻,29.29,29.76,28.12,28.71,28.42,0.87,3.0612,4.6193,20695840,600727052.0,62862000409.7,13122743254.0
2021-05-20,'601865,腦應杻,28.42,28.61,28.01,28.61,28.85,-0.43,-1.4905,2.587,11590349,328830577.0,60994812278.7,12732958800.9
2021-05-19,'601865,腦應杻,28.85,29.09,28.1,28.81,28.91,-0.06,-0.2075,3.4959,15662481,449132322.0,61917675377.9,12925610887.0
2021-05-18,'601865,腦應杻,28.91,29.28,27.63,27.76,27.91,1.0,3.5829,5.0371,22567512,648209734.0,62046446973.1,12952492573.4
2021-05-17,'601865,腦應杻,27.91,28.01,26.57,26.57,26.34,1.57,5.9605,5.0969,22835468,629470037.0,59900253719.1,12504464466.4
2021-05-14,'601865,腦應杻,26.34,26.87,25.92,26.75,26.68,-0.34,-1.2744,3.0722,13764216,361767025.0,56530730310.4,11801060338.4
2021-05-13,'601865,腦應杻,26.68,27.09,25.64,26.14,26.16,0.52,1.9878,4.2835,19191489,512983762.0,57260436016.7,11953389894.8
2021-05-12,'601865,腦應杻,26.16,26.56,24.37,24.4,24.64,1.52,6.1688,5.376,24085939,625299414.0,56144415524.6,11720415279.1
2021-05-11,'601865,腦應杻,24.64,24.96,24.21,24.78,25.4,-0.76,-2.9921,2.8778,12893562,316657493.0,52882201778.6,11039412556.5
2021-05-10,'601865,腦應杻,25.4,25.65,23.53,25.0,25.2,0.2,0.7937,4.8877,21898366,538531151.0,54513308651.6,11379913917.8
2021-05-07,'601865,腦應杻,25.2,25.92,24.89,25.1,25.62,-0.42,-1.6393,4.5161,20233373,512904086.0,54084070000.8,11290308296.4
2021-05-06,'601865,腦應杻,25.62,27.5,25.6,27.5,28.44,-2.82,-9.9156,7.9033,35408886,922172776.0,54985471167.5,11478480101.3
2021-04-30,'601865,腦應杻,28.44,28.61,27.37,28.31,28.35,0.09,0.3175,6.2242,27886277,784512700.0,61037736143.8,12741919363.1
2021-04-29,'601865,腦應杻,28.35,28.5,26.03,27.0,25.95,2.4,9.2486,8.1845,36668764,1005474601.0,60844578750.9,12701596833.5
2021-04-28,'601865,腦應杻,25.95,25.99,25.01,25.32,25.32,0.63,2.4882,2.0848,9340628,239583453.0,55693714941.3,11626329376.6
2021-04-27,'601865,腦應杻,25.32,26.1,25.06,26.09,26.1,-0.78,-2.9885,2.482,11120173,282455486.0,54341613191.3,11344071669.2
2021-04-26,'601865,腦應杻,26.1,26.87,26.09,26.59,26.86,-0.76,-2.8295,3.2543,14580382,385320762.0,56015643929.4,11693533592.7
2021-04-23,'601865,腦應杻,26.86,27.5,26.43,26.59,26.58,0.28,1.0534,3.0881,13835549,374034590.0,57646750802.4,12034034954.0
2021-04-22,'601865,腦應杻,26.58,27.04,25.7,25.7,25.7,0.88,3.4241,3.4376,15401618,407528475.0,57045816691.3,11908587084.1
2021-04-21,'601865,腦應杻,25.7,26.55,25.55,26.04,26.13,-0.43,-1.6456,2.193,9825077,253908039.0,55157166627.8,11514322349.9
2021-04-20,'601865,腦應杻,26.13,26.63,25.68,25.87,25.87,0.26,1.005,2.978,13342106,349643178.0,56080029727.0,11706974435.9
2021-04-19,'601865,腦應杻,25.87,25.96,24.6,24.8,25.06,0.81,3.2322,3.6727,16454687,418925156.0,55522019481.0,11590487128.1
2021-04-16,'601865,腦應杻,25.06,25.6,24.58,25.52,25.52,-0.46,-1.8025,2.986,13378281,332598694.0,53783602945.2,11227584361.4
2021-04-15,'601865,腦應杻,25.52,25.76,25.1,25.72,25.76,-0.24,-0.9317,1.9401,8692237,220281215.0,54770851842.1,11433677290.6
2021-04-14,'601865,腦應杻,25.76,25.85,24.96,25.0,25.0,0.76,3.04,1.6617,7444687,189839260.0,55285938223.0,11541204036.3
2021-04-13,'601865,腦應杻,25.0,25.79,24.98,25.48,25.48,-0.48,-1.8838,1.9854,8895023,224914387.0,53654831350.0,11200702675.0
2021-04-12,'601865,腦應杻,25.48,27.2,25.36,27.0,27.22,-1.74,-6.3924,3.1275,14012003,364363739.0,54685004111.9,11415756166.4
2021-04-09,'601865,腦應杻,27.22,27.5,26.72,27.0,26.92,0.3,1.1144,2.1679,9712725,263975016.0,58419380373.9,12195325072.5
2021-04-08,'601865,腦應杻,26.92,27.3,26.78,27.17,27.23,-0.31,-1.1385,1.8891,8463596,228485422.0,57775522397.7,12060916640.4
2021-04-07,'601865,腦應杻,27.23,28.11,27.02,28.1,27.92,-0.69,-2.4713,2.7598,12364621,337116419.0,58440842306.4,12199805353.6
2021-04-06,'601865,腦應杻,27.92,28.23,27.25,27.43,27.42,0.5,1.8235,2.7421,12285456,341832424.0,59921715651.7,12508944747.4
2021-04-02,'601865,腦應杻,27.42,27.76,27.23,27.37,27.59,-0.17,-0.6162,2.5952,11627027,319758000.0,58848619024.7,12284930693.9
2021-04-01,'601865,腦應杻,27.59,27.85,26.48,26.92,26.91,0.68,2.5269,3.9115,17524454,477982487.0,59213471877.9,12361095472.1
2021-03-31,'601865,腦應杻,26.91,27.72,26.8,27.72,27.76,-0.85,-3.062,4.0097,17964575,486068707.0,57754060465.1,12056436359.4
