日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-06-21,'603719,XD良品铺,45.69,45.77,44.74,45.0,44.81,0.88,1.9638,0.3807,851695,38680581.0,18321690000.0,10220699253.1
2021-06-18,'603719,良品铺子,45.07,46.7,45.0,46.34,46.31,-1.24,-2.6776,0.5157,1153606,52522722.0,18073070000.0,10082007339.5
2021-06-17,'603719,良品铺子,46.31,46.69,45.92,46.6,45.77,0.54,1.1798,0.1803,403427,18704180.0,18570310000.0,10359391166.9
2021-06-16,'603719,良品铺子,45.77,46.94,45.77,46.17,46.57,-0.8,-1.7178,0.404,903649,41638160.0,18353770000.0,10238594984.0
2021-06-15,'603719,良品铺子,46.57,47.91,46.33,47.41,47.92,-1.35,-2.8172,0.4666,1043858,48962292.0,18674570000.0,10417552292.0
2021-06-11,'603719,良品铺子,47.92,48.19,47.08,48.19,47.69,0.23,0.4823,0.4241,948600,44996635.0,19215920000.0,10719542749.2
2021-06-10,'603719,良品铺子,47.69,48.58,47.68,48.58,48.86,-1.17,-2.3946,0.484,1082715,51820577.0,19123690000.0,10668092523.1
2021-06-09,'603719,良品铺子,48.86,48.9,46.88,48.9,50.0,-1.14,-2.28,0.9038,2021768,96842871.0,19592860000.0,10929817586.1
2021-06-08,'603719,良品铺子,50.0,51.13,49.31,51.0,50.92,-0.92,-1.8068,0.5287,1182651,59180757.0,20050000000.0,11184831750.0
2021-06-07,'603719,良品铺子,50.92,50.95,48.36,48.97,48.97,1.95,3.982,0.7157,1600894,80292061.0,20418920000.0,11390632654.2
2021-06-04,'603719,良品铺子,48.97,49.39,48.56,48.6,48.85,0.12,0.2456,0.2344,524402,25703684.0,19636970000.0,10954424216.0
2021-06-03,'603719,良品铺子,48.85,49.45,48.66,48.76,49.04,-0.19,-0.3874,0.2378,531927,26068243.0,19588850000.0,10927580619.8
2021-06-02,'603719,良品铺子,49.04,50.23,48.84,49.94,50.3,-1.26,-2.505,0.4116,920838,45343343.0,19665040000.0,10970082980.4
2021-06-01,'603719,良品铺子,50.3,51.15,49.65,50.0,49.9,0.4,0.8016,0.5708,1276858,64187730.0,20170300000.0,11251940740.5
2021-05-31,'603719,良品铺子,49.9,50.46,49.72,49.9,49.95,-0.05,-0.1001,0.2933,656080,32816441.0,20009900000.0,11162462086.5
2021-05-28,'603719,良品铺子,49.95,51.0,49.6,51.0,50.65,-0.7,-1.382,0.438,979716,49015924.0,20029950000.0,11173646918.2
2021-05-27,'603719,良品铺子,50.65,51.15,50.07,50.3,50.21,0.44,0.8763,0.5683,1271278,64389921.0,20310650000.0,11330234562.8
2021-05-26,'603719,良品铺子,50.21,50.49,49.12,49.23,49.4,0.81,1.6397,0.7531,1684628,84189187.0,20134210000.0,11231808043.4
2021-05-25,'603719,良品铺子,49.4,49.78,47.6,48.09,48.09,1.31,2.7241,0.4834,1081339,53199955.0,19809400000.0,11050613769.0
2021-05-24,'603719,良品铺子,48.09,48.77,47.7,48.47,48.47,-0.38,-0.784,0.3094,692215,33280346.0,19284090000.0,10757571177.1
2021-05-21,'603719,良品铺子,48.47,49.29,48.27,49.29,48.92,-0.45,-0.9199,0.2547,569728,27657760.0,19436470000.0,10842575898.5
2021-05-20,'603719,良品铺子,48.92,49.37,48.7,48.92,48.92,0.0,0.0,0.3414,763791,37381531.0,19616920000.0,10943239384.2
2021-05-19,'603719,良品铺子,48.92,49.99,48.78,49.99,49.73,-0.81,-1.6288,0.3844,859874,42123909.0,19616920000.0,10943239384.2
2021-05-18,'603719,良品铺子,49.73,50.7,49.11,49.82,50.05,-0.32,-0.6394,0.4419,988434,49338356.0,19941730000.0,11124433658.5
2021-05-17,'603719,良品铺子,50.05,51.25,49.55,49.84,49.84,0.21,0.4213,0.6928,1549875,77765633.0,20070050000.0,11196016581.8
2021-05-14,'603719,良品铺子,49.84,50.2,49.4,49.67,49.17,0.67,1.3626,0.3721,832454,41464358.0,19985840000.0,11149040288.4
2021-05-13,'603719,良品铺子,49.17,49.8,48.83,49.58,49.55,-0.38,-0.7669,0.2277,509263,25054106.0,19717170000.0,10999163543.0
2021-05-12,'603719,良品铺子,49.55,49.8,48.78,49.6,49.84,-0.29,-0.5819,0.3261,729427,35938276.0,19869550000.0,11084168264.2
2021-05-11,'603719,良品铺子,49.84,50.89,48.12,48.12,49.05,0.79,1.6106,0.3181,711495,35417867.0,19985840000.0,11149040288.4
2021-05-10,'603719,良品铺子,49.05,49.98,48.52,49.4,50.0,-0.95,-1.9,0.3108,695217,34234629.0,19669050000.0,10972319946.8
2021-05-07,'603719,良品铺子,50.0,52.58,49.6,52.04,52.04,-2.04,-3.9201,0.5507,1231989,62169409.0,20050000000.0,11184831750.0
2021-05-06,'603719,良品铺子,52.04,52.29,50.51,51.41,51.41,0.63,1.2254,0.4678,1046374,54147638.0,20868040000.0,11641172885.4
2021-04-30,'603719,良品铺子,51.41,52.2,51.2,52.04,52.04,-0.63,-1.2106,0.3539,791641,40822922.0,20615410000.0,11500244005.4
2021-04-29,'603719,良品铺子,52.04,53.26,51.6,52.39,52.54,-0.5,-0.9517,0.4706,1052766,54837994.0,20868040000.0,11641172885.4
2021-04-28,'603719,良品铺子,52.54,53.66,51.5,52.03,52.61,-0.07,-0.1331,0.6746,1509144,79534997.0,21068540000.0,11753021202.9
2021-04-27,'603719,良品铺子,52.61,53.2,51.34,52.37,53.0,-0.39,-0.7358,0.5772,1291188,67523758.0,21096610000.0,11768679967.4
2021-04-26,'603719,良品铺子,53.0,53.31,51.33,51.82,52.7,0.3,0.5693,0.9082,2031588,106578830.0,21253000000.0,11855921655.0
2021-04-23,'603719,良品铺子,52.7,54.16,51.28,54.0,56.29,-3.59,-6.3777,1.3124,2935692,154427607.0,21132700000.0,11788812664.5
2021-04-22,'603719,良品铺子,56.29,57.06,50.61,51.37,51.87,4.42,8.5213,1.9621,4389255,241256010.0,22572290000.0,12591883584.1
2021-04-21,'603719,良品铺子,51.87,52.15,48.85,49.34,49.34,2.53,5.1277,0.9688,2167244,109904747.0,20799870000.0,11603144457.5
2021-04-20,'603719,良品铺子,49.34,49.58,48.62,48.8,48.89,0.45,0.9204,0.4031,901737,44328096.0,19785340000.0,11037191970.9
2021-04-19,'603719,良品铺子,48.89,48.99,47.37,48.1,48.2,0.69,1.4315,0.4303,962641,46768083.0,19604890000.0,10936528485.1
2021-04-16,'603719,良品铺子,48.2,48.61,46.92,47.24,47.23,0.97,2.0538,0.3844,859906,41077153.0,19328200000.0,10782177807.0
2021-04-15,'603719,良品铺子,47.23,47.54,46.21,47.51,47.3,-0.07,-0.148,0.2743,613549,28667096.0,18939230000.0,10565192071.0
2021-04-14,'603719,良品铺子,47.3,47.42,46.68,47.21,47.2,0.1,0.2119,0.2422,541802,25531012.0,18967300000.0,10580850835.5
2021-04-13,'603719,良品铺子,47.2,47.4,46.12,46.41,46.43,0.77,1.6584,0.3152,704994,33076253.0,18927200000.0,10558481172.0
2021-04-12,'603719,良品铺子,46.43,48.5,46.12,48.25,47.48,-1.05,-2.2115,0.5359,1198748,56372745.0,18618430000.0,10386234763.0
2021-04-09,'603719,良品铺子,47.48,48.88,47.21,48.88,48.61,-1.13,-2.3246,0.4591,1027036,48922567.0,19039480000.0,10621116229.8
2021-04-08,'603719,良品铺子,48.61,49.2,48.3,48.9,48.87,-0.26,-0.532,0.3759,840806,40950787.0,19492610000.0,10873893427.4
2021-04-07,'603719,良品铺子,48.87,49.89,48.34,49.88,49.74,-0.87,-1.7491,0.3859,863163,42161933.0,19596870000.0,10932054552.5
2021-04-06,'603719,良品铺子,49.74,52.0,49.0,51.0,49.95,-0.21,-0.4204,0.5008,1120207,56292380.0,19945740000.0,11126670624.9
2021-04-02,'603719,良品铺子,49.95,50.42,48.88,49.2,49.12,0.83,1.6897,0.3827,856159,42558757.0,20029950000.0,11173646918.2
2021-04-01,'603719,良品铺子,49.12,49.88,48.6,48.67,48.53,0.59,1.2157,0.3086,690367,33922688.0,19697120000.0,10987978711.2
2021-03-31,'603719,良品铺子,48.53,50.28,48.1,49.69,49.7,-1.17,-2.3541,0.3841,859124,41955329.0,19460530000.0,10855997696.5
2021-03-30,'603719,良品铺子,49.7,50.78,47.0,47.17,47.16,2.54,5.3859,0.6964,1557809,76301202.0,19929700000.0,11117722759.5
2021-03-29,'603719,良品铺子,47.16,47.21,46.15,46.72,46.74,0.42,0.8986,0.267,597251,27941092.0,18911160000.0,10549533306.6
2021-03-26,'603719,良品铺子,46.74,47.26,45.54,46.08,46.09,0.65,1.4103,0.3597,804637,37280247.0,18742740000.0,10455580719.9
2021-03-25,'603719,良品铺子,46.09,47.49,45.88,46.8,46.92,-0.83,-1.769,0.3856,862685,39981360.0,18482090000.0,10310177907.1
2021-03-24,'603719,良品铺子,46.92,49.2,46.68,48.73,49.22,-2.3,-4.6729,0.5461,1221524,58256176.0,18814920000.0,10495846114.2
2021-03-23,'603719,良品铺子,49.22,50.3,48.7,49.5,49.93,-0.71,-1.422,0.3144,703394,34637641.0,19737220000.0,11010348374.7
2021-03-22,'603719,良品铺子,49.93,50.7,49.23,50.7,49.23,0.7,1.4219,0.2485,555926,27693337.0,20021930000.0,11169172985.5
2021-03-19,'603719,良品铺子,49.23,50.66,49.22,49.68,50.2,-0.97,-1.9323,0.3247,726272,36190563.0,19741230000.0,11012585341.0
2021-03-18,'603719,良品铺子,50.2,50.45,49.07,49.47,49.49,0.71,1.4346,0.2725,609463,30424566.0,20130200000.0,11229571077.0
2021-03-17,'603719,良品铺子,49.49,49.99,48.7,48.99,49.42,0.07,0.1416,0.2251,503600,24930488.0,19845490000.0,11070746466.1
2021-03-16,'603719,良品铺子,49.42,49.58,48.35,48.86,48.87,0.55,1.1254,0.2714,607164,29688360.0,19817420000.0,11055087701.7
2021-03-15,'603719,良品铺子,48.87,49.6,47.98,49.44,49.8,-0.93,-1.8675,0.3707,829256,40294561.0,19596870000.0,10932054552.5
2021-03-12,'603719,良品铺子,49.8,50.0,48.55,49.68,49.66,0.14,0.2819,0.3686,824620,40641277.0,19969800000.0,11140092423.0
